"Country or Area","Year","Value"
"Hungary","1992","4443.89245312437"
"Hungary","1991","5696.79580198384"
"Hungary","1990","8376.0943846536"
"Iceland","2018","305.47462688992"
"Iceland","2017","322.361270056298"
"Iceland","2016","311.480171980863"
"Iceland","2015","313.202311231572"
"Iceland","2014","331.039391935143"
"Iceland","2013","302.443709049699"
"Iceland","2012","307.150566718342"
"Iceland","2011","302.103465245691"
"Iceland","2010","305.508239367849"
"Iceland","2009","316.73262819124"
"Iceland","2008","341.67596419324"
"Iceland","2007","334.598960973035"
"Iceland","2006","322.322295165928"
"Iceland","2005","312.097004203133"
"Iceland","2004","311.230040654739"
"Iceland","2003","311.399867344013"
"Iceland","2002","318.252073017523"
"Iceland","2001","344.070454838258"
"Iceland","2000","349.160523306317"
"Iceland","1999","369.977723397599"
"Iceland","1998","361.506270572788"
"Iceland","1997","362.129029353956"
"Iceland","1996","368.944270537584"
"Iceland","1995","354.168160893308"
"Iceland","1994","360.997528204341"
"Iceland","1993","357.625424225788"
"Iceland","1992","350.358306710057"
"Iceland","1991","367.856453608299"
"Iceland","1990","378.396700696799"
"Ireland","2018","6953.70144211222"
"Ireland","2017","6748.96206407213"
"Ireland","2016","6465.79890672259"
"Ireland","2015","6354.99392050514"
"Ireland","2014","6356.31619678702"
"Ireland","2013","6536.82024668623"
"Ireland","2012","6097.93851620969"
"Ireland","2011","5938.67345695763"
"Ireland","2010","6345.58532142717"
"Ireland","2009","6092.47759087055"
"Ireland","2008","6265.73393759996"
"Ireland","2007","6322.83058236557"
"Ireland","2006","6497.74939936458"
"Ireland","2005","6762.02169313226"
"Ireland","2004","6915.68556166204"
"Ireland","2003","7011.95815471105"
"Ireland","2002","7123.92718947692"
"Ireland","2001","7468.00721271498"
"Ireland","2000","7958.07184166271"
"Ireland","1999","8268.92348005062"
"Ireland","1998","8512.69086571978"
"Ireland","1997","8091.58897072606"
"Ireland","1996","8199.47920729317"
"Ireland","1995","8084.72400278874"
"Ireland","1994","7785.1763376681"
"Ireland","1993","7524.63721230187"
"Ireland","1992","7400.9180634324"
"Ireland","1991","7482.96492278626"
"Ireland","1990","7728.6876356729"
"Italy","2018","17694.8528036963"
"Italy","2017","18007.0284621965"
"Italy","2016","18099.5286261541"
"Italy","2015","17859.2564469064"
"Italy","2014","17833.8323234323"
"Italy","2013","18289.4570152838"
"Italy","2012","19049.9288413333"
"Italy","2011","18556.8125543108"
